#area is 10345.2876square degrees
#zmid zlow zhigh n(z) Nbin Vol_bin
0.015 0.01 0.02 0.009371277601365689 1828.473346552794 195114.62837109083
0.025 0.02 0.03 0.008601327299078495 4513.421398760911 524735.4555667771
0.035 0.03 0.04 0.006544365389810087 6624.045791750669 1012175.4207160635
0.045 0.04 0.05 0.0053639919688602085 8864.909395626999 1652670.146989556
0.05500000000000001 0.05 0.060000000000000005 0.0044953435852522 10975.283914174728 2441478.3221867983
0.065 0.060000000000000005 0.06999999999999999 0.005118471371298238 17269.167303567232 3373891.5490284585
0.075 0.06999999999999999 0.08 0.005239657901898698 23291.509160900216 4445234.707491124
0.08499999999999999 0.08 0.09 0.006408186366098628 36211.84039629234 5650871.920308787
0.095 0.09 0.09999999999999999 0.008150613146456818 56941.887104333415 6986209.022702399
0.105 0.09999999999999999 0.11 0.0063360848430421895 53518.99340901807 8446697.721825583
0.11499999999999999 0.11 0.12 0.005537080778170896 55524.95777288711 10027839.577812528
0.125 0.12 0.13 0.0046663795416642916 54714.17305876725 11725187.068528317
0.135 0.13 0.14 0.003013556620272318 40786.52578965425 13534348.588402698
0.14500000000000002 0.14 0.15000000000000002 0.0021387434615974675 33045.70639903581 15450991.197585404
0.15500000000000003 0.15000000000000002 0.16 0.0017628105931096108 30797.78390219349 17470841.179746926
0.165 0.16 0.17 0.001296247787472416 25393.091463508634 19589689.339430403
0.17500000000000002 0.17 0.18000000000000002 0.0011071595120257052 24139.83049248127 21803389.87316654
0.185 0.18000000000000002 0.19 0.0010883138198852038 26236.923365015053 24107865.659357835
0.195 0.19 0.2 0.0009573651806801092 25369.322378835837 26499107.0187173
0.20500000000000002 0.2 0.21000000000000002 0.0008461353993648634 24515.23327632186 28973180.05454421
0.21500000000000002 0.21000000000000002 0.22 0.0007366146937915378 23222.673168884656 31526214.94604163
0.225 0.22 0.23 0.0006696393112598999 22871.14749314938 34154427.77712411
0.23500000000000001 0.23 0.24000000000000002 0.0005576308238781398 20550.976892798113 36854090.578911684
0.245 0.24000000000000002 0.25 0.0004906663766292458 19440.97323378421 39621572.13082093
0.255 0.25 0.26 0.00043662083495084444 18535.999427936895 42453309.47164652
