#area is 10345.2876square degrees
#zmid zlow zhigh n(z) Nbin Vol_bin
0.7050000000000001 0.7000000000000001 0.7100000000000001 0.0002692773592068568 52078.17052674807 193399737.28256157
0.7150000000000001 0.7100000000000001 0.72 0.0003153981678126923 62013.47230252841 196619633.94586614
0.725 0.72 0.73 0.0003605350893517809 72040.94120751348 199816726.12515607
0.735 0.73 0.74 0.00040832884558558285 82886.58136379729 202989777.13644
0.745 0.74 0.75 0.00045947173676999623 94714.53776549824 206137897.4718324
0.755 0.75 0.76 0.0005146530176440809 107697.02256275208 209261422.4934599
0.765 0.76 0.77 0.0005725285371132521 121581.90605753123 212359556.2075556
0.775 0.77 0.78 0.0006415597522198435 138211.93476622427 215431118.12734652
0.785 0.78 0.79 0.0006994437521719736 152812.4138741997 218477058.94816175
0.795 0.79 0.8 0.0007553017917686375 167296.41265109953 221496115.16126975
0.805 0.8 0.81 0.0008084336214157926 181483.90310035934 224488317.02784756
0.8150000000000001 0.81 0.8200000000000001 0.0008529894349371617 194014.54676304714 227452461.67948127
0.8250000000000001 0.8200000000000001 0.8300000000000001 0.0008856115543891071 204035.65929052388 230389563.32414523
0.8350000000000001 0.8300000000000001 0.8400000000000001 0.0009134892571685815 213115.94052819014 233298792.35663554
0.845 0.8400000000000001 0.85 0.0009900225301850852 233822.7705105076 236179241.76613873
0.855 0.85 0.86 0.0009894446675316386 236509.167328381 239032232.0078787
0.865 0.86 0.87 0.0009810299758419997 237267.55472866408 241855560.55514184
0.875 0.87 0.88 0.0009859336352728333 241209.36722874723 244650713.3941103
0.885 0.88 0.89 0.0009872997502090935 244274.17308367137 247416423.46403733
0.895 0.89 0.9 0.0009882082262127948 247204.43730247967 250154199.02935332
0.905 0.9 0.91 0.0010074635670941107 254748.5773202962 252861329.81968093
0.915 0.91 0.92 0.0010227332834365568 261349.30815253351 255540043.90504983
0.925 0.92 0.93 0.0010722303886424379 276838.3588992034 258189249.09385508
0.935 0.93 0.9400000000000001 0.0010542470004290872 274956.36580273043 260808297.9518281
0.9450000000000001 0.9400000000000001 0.9500000000000001 0.0010225435958707803 269337.14945226046 263399184.68013838
0.9550000000000001 0.9500000000000001 0.9600000000000001 0.0010096311922327837 268520.9262698998 265959419.9700486
0.9650000000000001 0.9600000000000001 0.97 0.0009863887983526806 264835.888567297 268490365.06658065
0.975 0.97 0.98 0.0009770637545083152 264776.2187026628 270991752.053995
0.985 0.98 0.99 0.0009498596014341177 259751.63234470907 273463185.4565987
0.995 0.99 1.0 0.0009476499591688102 261462.83322507865 275906552.5148224
1.005 1.0 1.01 0.0009254539558412458 257570.59068310508 278318104.3825904
1.0150000000000001 1.01 1.02 0.0009071692516115537 254644.07928233326 280701841.2826131
1.025 1.02 1.03 0.0008893894560180657 251746.89802930265 283055860.7658927
1.0350000000000001 1.03 1.04 0.0008214140678573852 234415.70393719446 285380678.405783
1.045 1.04 1.05 0.0007809593083068319 224662.77544193703 287675392.36969954
1.0550000000000002 1.05 1.06 0.0008153249382468627 236396.68943915892 289941688.7056914
1.065 1.06 1.07 0.0007767127585715975 226938.6753414536 292178379.76397085
1.0750000000000002 1.07 1.08 0.0007643798473427095 225023.2773804168 294386721.68384326
1.085 1.08 1.09 0.0007550631711382368 223925.85099181128 296565717.34819126
1.0950000000000002 1.09 1.1 0.0007361795525445771 219908.5596483887 298715929.94981045
1.105 1.1 1.11 0.0007211594819679498 216952.11324942956 300837912.6589248
1.1150000000000002 1.11 1.12 0.0007092870442070945 214865.2967672632 302931371.0466249
1.125 1.12 1.1300000000000001 0.0007034504526232804 214549.24505827404 304995532.0352489
1.1350000000000002 1.1300000000000001 1.1400000000000001 0.0007009957289918591 215228.49351015518 307032531.8810248
1.145 1.1400000000000001 1.1500000000000001 0.0006892097904142516 212994.45211864682 309041535.80091465
1.1550000000000002 1.1500000000000001 1.1600000000000001 0.0006809523874623076 211791.26879584225 311022140.0135195
1.165 1.1600000000000001 1.17 0.0006772537351365658 211963.42002964157 312974900.00095737
1.1749999999999998 1.17 1.18 0.0006625232950386459 208628.8316829506 314900371.4213264
1.185 1.18 1.19 0.0006537375865798041 207103.52996166982 316799177.8554222
1.1949999999999998 1.19 1.2 0.0006524046537162209 207901.4878316848 318669535.3067125
1.205 1.2 1.21 0.0006447863532830629 206663.0842657442 320514048.12381095
1.2149999999999999 1.21 1.22 0.0006329810490705869 204028.97460236328 322330304.9940299
1.225 1.22 1.23 0.0006068009129898424 196677.18480969133 324121438.51369524
1.2349999999999999 1.23 1.24 0.0006141924660471013 200156.482811588 325885604.06769687
1.245 1.24 1.25 0.0005946183708015438 194810.84407448137 327623318.8219142
1.255 1.25 1.26 0.0005898792643570092 194267.98776949826 329335169.93728834
1.2650000000000001 1.26 1.27 0.0005724608766623682 189496.97578294663 331021705.6015691
1.275 1.27 1.28 0.00055512270811922 184679.2900740393 332681923.0647956
1.2850000000000001 1.28 1.29 0.0005569045146575874 186182.25828559173 334316302.67904335
1.295 1.29 1.3 0.0005549768580517592 186431.65977925944 335926907.71598285
1.3050000000000002 1.3 1.31 0.0005544204798270012 187123.57506444395 337512018.17586744
1.315 1.31 1.32 0.000537051372948749 182098.4943728597 339070903.72569895
1.3250000000000002 1.32 1.33 0.0005352818589495425 182320.73426117195 340606974.08831507
1.335 1.33 1.34 0.0005469316694690384 187115.3719050393 342118371.1791475
1.3450000000000002 1.34 1.35 0.0005352739690688281 183923.1394132637 343605611.4090876
1.355 1.35 1.36 0.00051703194424605 178411.82968385614 345069258.620028
1.3650000000000002 1.36 1.37 0.0005153836008960959 178584.773296524 346508451.1537022
1.375 1.37 1.3800000000000001 0.0005005685651077709 174159.58173004052 347923529.1024408
1.3850000000000002 1.3800000000000001 1.3900000000000001 0.0004921913363690352 171931.51351433052 349318447.5425624
1.395 1.3900000000000001 1.4000000000000001 0.0004831695814280142 169440.7877635201 350685958.4635596
1.4050000000000002 1.4000000000000001 1.4100000000000001 0.00047358600745893556 166718.90802314415 352035122.2319428
1.415 1.4100000000000001 1.42 0.0004653026871951564 164418.72486077438 353358640.2689615
1.4249999999999998 1.42 1.43 0.00046734730527861685 165749.55876463273 354660349.79236346
1.435 1.43 1.44 0.0004565609961223985 162508.73336678342 355940903.2899884
1.4449999999999998 1.44 1.45 0.0004551472423599618 162578.2366417842 357199212.71808153
1.455 1.45 1.46 0.00043468875274553867 155808.0092050451 358435796.2356876
1.4649999999999999 1.46 1.47 0.0004299531160642903 154633.12518887536 359651132.67315704
1.475 1.47 1.48 0.0004232008642066561 152710.22232198404 360845724.188817
1.4849999999999999 1.48 1.49 0.00041654404565964195 150795.821313043 362016509.1406882
1.495 1.49 1.5 0.00032083768477172053 116518.38859941093 363169272.5943806
1.505 1.5 1.51 0.0003045390911671468 110944.2412048562 364302135.33396363
1.5150000000000001 1.51 1.52 0.0002857582365252747 104419.23977392977 365411128.80466044
1.525 1.52 1.53 0.0002959164427455781 108454.45458889924 366503644.01056886
1.5350000000000001 1.53 1.54 0.0002508180224679465 92194.47040447114 367575142.71628237
1.545 1.54 1.55 0.000270171235125426 99591.79037587835 368624699.5526494
1.5550000000000002 1.55 1.56 0.0002718683405913341 100498.1700095991 369657495.9445738
1.565 1.56 1.57 0.0002691544286000116 99767.60581147834 370670496.9723616
1.5750000000000002 1.57 1.58 0.000278679869979929 103575.30680399091 371664113.4196402
1.585 1.58 1.59 0.00026424387324861415 98467.51807166205 372638793.32793
1.5950000000000002 1.59 1.6 0.0002447804419955207 91448.74701242762 373594990.9515282
